,PLAYER NAME,PLAYER TEAM,PLAYER POSITION,PROJ,TOTAL,rank,DATE
250,Samori Toure,GB,WR,4.8,2,102.5,09-26-23
251,MyCole Pruitt,Atl,TE,0,2,47.5,09-26-23
252,Dalton Schultz,Hou,TE,8.9,1.9,50,09-26-23
253,Noah Gray,KC,TE,3.4,1.9,50,09-26-23
254,C.J. Uzomah,NYJ,TE,1.7,1.9,50,09-26-23
255,Trey Palmer,TB,WR,4.3,1.8,104,09-26-23
256,Daniel Bellinger,NYG,TE,2.1,1.8,52.5,09-26-23
257,Ian Thomas,Car,TE,0.4,1.8,52.5,09-26-23
258,Laviska Shenault Jr.,Car,WR,2.5,1.7,105,09-26-23
259,C.J. Ham,Min,RB,1.4,1.7,69,09-26-23
260,Drew Sample,Cin,TE,4.8,1.7,54,09-26-23
261,Rashod Bateman,Bal,WR,6.7,1.6,107,09-26-23
262,Charlie Jones,Cin,WR,0.1,1.6,107,09-26-23
263,Tyler Scott,Chi,WR,1,1.6,107,09-26-23
264,Jack Stoll,Phi,TE,0.4,1.6,55,09-26-23
265,Jaleel McLaughlin,Den,RB,1.7,1.5,71.5,09-26-23
266,Treylon Burks,Ten,WR,8.8,1.5,110.5,09-26-23
267,JuJu Smith-Schuster,NE,WR,7.9,1.5,110.5,09-26-23
268,Damien Harris,Buf,RB,3.1,1.5,71.5,09-26-23
269,Craig Reynolds,Det,RB,9.2,1.5,71.5,09-26-23
270,DeeJay Dallas,Sea,RB,2.1,1.5,71.5,09-26-23
271,Khalil Shakir,Buf,WR,1.1,1.5,110.5,09-26-23
272,Brandon Powell,Min,WR,0.3,1.5,110.5,09-26-23
273,Luke Farrell,Jax,TE,0.2,1.4,56,09-26-23
274,Michael Carter,NYJ,RB,4.4,1.3,74.5,09-26-23
275,Zonovan Knight,Det,RB,3.2,1.3,74.5,09-26-23
276,Isaiah McKenzie,Ind,WR,2.9,1.3,114,09-26-23
277,Ben Skowronek,LAR,WR,4.1,1.3,114,09-26-23
278,Derius Davis,LAC,WR,0.9,1.3,114,09-26-23
279,Peyton Hendershot,Dal,TE,1.1,1.3,57,09-26-23
280,Trey McBride,Ari,TE,4.6,1.2,58,09-26-23
281,Jordan Mason,SF,RB,0,1.1,76,09-26-23
282,Kadarius Toney,KC,WR,9.1,0.9,116,09-26-23
283,Isaiah Spiller,LAC,RB,2.7,0.7,77,09-26-23
284,Sam Howell,Wsh,QB,15,0.6,34,09-26-23
285,Trayveon Williams,Cin,RB,4.7,0.4,78,09-26-23
286,Harrison Bryant,Cle,TE,2.1,0.4,59,09-26-23
287,C.J. Beathard,Jax,QB,0,0.36,35,09-26-23
288,Kyle Juszczyk,SF,RB,1.2,0.3,79,09-26-23
289,Emari Demercado,Ari,RB,1.5,0.2,80,09-26-23
290,Tyrod Taylor,NYG,QB,0,0.2,36,09-26-23
291,Sean Tucker,TB,RB,5.3,0.1,81,09-26-23
292,Marquise Goodwin,Cle,WR,2,0.1,117,09-26-23
293,Austin Ekeler,LAC,RB,0,,,09-26-23
294,Saquon Barkley,NYG,RB,0,,,09-26-23
295,Cooper Kupp,LAR,WR,0,,,09-26-23
296,Jaylen Waddle,Mia,WR,0,,,09-26-23
297,Aaron Jones,GB,RB,0,,,09-26-23
298,Alvin Kamara,NO,RB,0,,,09-26-23
299,Jonathan Taylor,Ind,RB,0,,,09-26-23
300,Brandon Aiyuk,SF,WR,0,,,09-26-23
301,David Montgomery,Det,RB,0,,,09-26-23
302,Christian Watson,GB,WR,0,,,09-26-23
303,Anthony Richardson,Ind,QB,0,,,09-26-23
304,Diontae Johnson,Pit,WR,0,,,09-26-23
305,Cam Akers,Min,RB,0,,,09-26-23
306,Odell Beckham Jr.,Bal,WR,0,,,09-26-23
307,Jamaal Williams,NO,RB,0,,,09-26-23
308,Darnell Mooney,Chi,WR,9.1,0,141,09-26-23
309,Jameson Williams,Det,WR,0,,,09-26-23
310,Zay Jones,Jax,WR,0,,,09-26-23
311,Nick Chubb,Cle,RB,0,,,09-26-23
312,Jeff Wilson Jr.,Mia,RB,0,,,09-26-23
313,Rashaad Penny,Phi,RB,1.6,,,09-26-23
314,Josh Reynolds,Det,WR,10,0,141,09-26-23
315,Justice Hill,Bal,RB,0,,,09-26-23
316,J.K. Dobbins,Bal,RB,0,,,09-26-23
317,Aaron Rodgers,NYJ,QB,0,,,09-26-23
318,Kyler Murray,Ari,QB,0,,,09-26-23
319,Bryce Young,Car,QB,0,,,09-26-23
320,Greg Dulcich,Den,TE,0,,,09-26-23
321,Logan Thomas,Wsh,TE,0,,,09-26-23
322,Keaton Mitchell,Bal,RB,0,,,09-26-23
323,D'Onta Foreman,Chi,RB,0,0,95.5,09-26-23
324,Irv Smith Jr.,Cin,TE,0,,,09-26-23
325,Deuce Vaughn,Dal,RB,3.6,0,95.5,09-26-23
326,Cordarrelle Patterson,Atl,RB,0,,,09-26-23
327,Evan Hull,Ind,RB,0,,,09-26-23
328,Ronnie Rivers,LAR,RB,4.5,0,95.5,09-26-23
329,Jalin Hyatt,NYG,WR,3.7,0,141,09-26-23
330,Isaiah Hodgins,NYG,WR,7.6,0,141,09-26-23
331,Marvin Jones Jr.,Det,WR,4.2,0,141,09-26-23
332,Jelani Woods,Ind,TE,0,,,09-26-23
333,Zamir White,LV,RB,3.4,0,95.5,09-26-23
334,Mecole Hardman Jr.,NYJ,WR,1,0,141,09-26-23
335,Nick Westbrook-Ikhine,Ten,WR,6.8,0,141,09-26-23
336,Tyquan Thornton,NE,WR,0,,,09-26-23
337,Chase Edmonds,TB,RB,0,,,09-26-23
338,Justyn Ross,KC,WR,2,0,141,09-26-23
339,Elijah Dotson,LAC,RB,7.4,0,95.5,09-26-23
340,Chase Brown,Cin,RB,0,0,95.5,09-26-23
341,Darnell Washington,Pit,TE,1.7,0,79,09-26-23
342,Salvon Ahmed,Mia,RB,0,,,09-26-23
343,Tom Brady,TB,QB,0,,,09-26-23
344,Austin Hooper,LV,TE,4.3,0,79,09-26-23
345,Aidan O'Connell,LV,QB,0,,,09-26-23
346,Raheem Blackshear,Car,RB,0,,,09-26-23
347,Mitch Trubisky,Pit,QB,0,,,09-26-23
348,Trey Lance,Dal,QB,0,,,09-26-23
349,Quez Watkins,Phi,WR,0,,,09-26-23
350,Trenton Irwin,Cin,WR,1.2,,,09-26-23
351,Luke Schoonmaker,Dal,TE,0.6,0,79,09-26-23
352,Boston Scott,Phi,RB,0,,,09-26-23
353,Chris Evans,Cin,RB,3,,,09-26-23
354,Will Levis,Ten,QB,0,,,09-26-23
355,Sterling Shepard,NYG,WR,0.9,0,141,09-26-23
356,Adam Trautman,Den,TE,6.5,0,79,09-26-23
357,KaVontae Turpin,Dal,WR,2,0,141,09-26-23
358,Cedric Tillman,Cle,WR,0,0,141,09-26-23
359,Ty Montgomery II,NE,RB,1.3,0,95.5,09-26-23
360,Taylor Heinicke,Atl,QB,0,,,09-26-23
361,Dorian Thompson-Robinson,Cle,QB,0,0,38,09-26-23
362,Kyle Trask,TB,QB,0,,,09-26-23
363,Ke'Shawn Vaughn,TB,RB,1.4,0,95.5,09-26-23
364,Zach Evans,LAR,RB,0,,,09-26-23
365,Devin Duvernay,Bal,WR,3.1,0,141,09-26-23
366,Kene Nwangwu,Min,RB,0,,,09-26-23
367,Dare Ogunbowale,Hou,RB,0,,,09-26-23
368,Chris Rodriguez Jr.,Wsh,RB,0,0,95.5,09-26-23
369,Will Dissly,Sea,TE,0,,,09-26-23
370,Marcus Mariota,Phi,QB,0,,,09-26-23
371,Hendon Hooker,Det,QB,0,,,09-26-23
372,Stetson Bennett,LAR,QB,0,,,09-26-23
373,Jalen Tolbert,Dal,WR,1.5,0,141,09-26-23
374,Myles Gaskin,FA,RB,,,,09-26-23
375,Jacoby Brissett,Wsh,QB,0,,,09-26-23
376,Kayshon Boutte,NE,WR,0,,,09-26-23
377,Eric Gray,NYG,RB,3.6,0,95.5,09-26-23
378,Russell Gage,TB,WR,0,,,09-26-23
379,Jake Browning,Cin,QB,0,,,09-26-23
380,Anthony McFarland Jr.,Pit,RB,0,,,09-26-23
381,Tucker Kraft,GB,TE,0,0,79,09-26-23
382,Israel Abanikanda,NYJ,RB,0,,,09-26-23
383,Connor Heyward,Pit,TE,1.1,0,79,09-26-23
384,Blake Bell,KC,TE,1.3,0,79,09-26-23
385,Ben Roethlisberger,Pit,QB,0,,,09-26-23
386,Corey Davis,NYJ,WR,0,,,09-26-23
387,Julius Chestnut,Ten,RB,0.1,0,95.5,09-26-23
388,Nyheim Hines,Buf,RB,0,,,09-26-23
389,Foster Moreau,NO,TE,0,,,09-26-23
390,Richie James,KC,WR,0,,,09-26-23
391,Tyler Huntley,Bal,QB,0,,,09-26-23
392,Ray-Ray McCloud III,SF,WR,4.1,0,141,09-26-23
393,Cedrick Wilson Jr.,Mia,WR,4,0,141,09-26-23
394,Alec Ingold,Mia,RB,3.3,0,95.5,09-26-23
395,Bailey Zappe,NE,QB,0,,,09-26-23
396,Robert Tonyan,Chi,TE,1,0,79,09-26-23
397,Equanimeous St. Brown,Chi,WR,0,,,09-26-23
398,Hassan Haskins,Ten,RB,0,,,09-26-23
399,Tim Patrick,Den,WR,0,,,09-26-23
400,Brian Hoyer,LV,QB,0,,,09-26-23
401,Brock Wright,Det,TE,1.7,0,79,09-26-23
402,Xavier Gipson,NYJ,WR,0.2,0,141,09-26-23
403,Malik Willis,Ten,QB,0,0,38,09-26-23
404,JaMycal Hasty,Jax,RB,0,,,09-26-23
405,Kenny McIntosh,Sea,RB,0,,,09-26-23
406,Teddy Bridgewater,Det,QB,0,,,09-26-23
407,Clayton Tune,Ari,QB,0,,,09-26-23
408,Drew Lock,Sea,QB,0,,,09-26-23
409,Cooper Rush,Dal,QB,0,,,09-26-23
410,Sean Clifford,GB,QB,0,,,09-26-23
411,Andrei Iosivas,Cin,WR,0,0,141,09-26-23
412,Mo Alie-Cox,Ind,TE,3.8,0,79,09-26-23
413,Tyrion Davis-Price,SF,RB,0,,,09-26-23
414,Albert Okwuegbunam,Phi,TE,0,,,09-26-23
415,Kyle Philips,Ten,WR,0,,,09-26-23
416,Noah Brown,Hou,WR,0,,,09-26-23
417,Brandon Bolden,LV,RB,0,0,95.5,09-26-23
418,Dyami Brown,Wsh,WR,3.2,0,141,09-26-23
419,Jarrett Stidham,Den,QB,0,0,38,09-26-23
420,Tyson Bagent,Chi,QB,0,,,09-26-23
421,David Bell,Cle,WR,0.9,0,141,09-26-23
422,A.T. Perry,NO,WR,0,,,09-26-23
423,Greg Dortch,Ari,WR,0.1,0,141,09-26-23
424,Travis Homer,Chi,RB,0,0,95.5,09-26-23
425,Tre Tucker,LV,WR,0,0,141,09-26-23
